title,link,video_id,channel,views,snippet,length_str,parsed_length,parsed_views
The Insulin & Glucose Doctor: This Will Strip Your Fat Faster Than Anything!,https://www.youtube.com/watch?v=NyFSkGMWP5Q,NyFSkGMWP5Q,The Diary Of A CEO,"2,616,978 views",,2:43:51,9831,2616978
Monica Lewinsky: An Intern vs. The President (Full Episode),https://www.youtube.com/watch?v=P3ByiSu53yQ,P3ByiSu53yQ,Call Her Daddy,"696,822 views",,1:05:59,3959,696822
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,487,131 views",,1:18:54,4734,1487131
9 Lessons for Lasting Change: Do THIS for 30 Days & Become Unrecognizable! @DrChatterjeeRangan,https://www.youtube.com/watch?v=strvdoGo_a0,strvdoGo_a0,Jay Shetty Podcast,"241,133 views",,1:07:30,4050,241133
The Charisma Teacher: Psychology Of Why People Don't Like You! People Are Attracted To These Traits!,https://www.youtube.com/watch?v=zg4Ta7vXiIM,zg4Ta7vXiIM,The Diary Of A CEO,"1,506,827 views",,2:14:23,8063,1506827
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"369,722 views",,57:11,3431,369722
Neuroscientist Proves Manifestation Is REAL (4-Step Method To Hack Your Brain!) | Dr. Tara Swart,https://www.youtube.com/watch?v=7KCzaQdUmyU,7KCzaQdUmyU,Jay Shetty Podcast,"332,397 views",,1:23:35,5015,332397
Change Your Mindset ft. Mel Robbins | Khloé in Wonder Land Episode 3 | Khloé Kardashian,https://www.youtube.com/watch?v=_QhA6n5Axy4,_QhA6n5Axy4,Khloe Kardashian,"556,717 views",,55:24,3324,556717
#1 Brain Surgeon: What Your Dreams Are Trying To Tell You About Yourself | Rahul Jandial,https://www.youtube.com/watch?v=G6yBbzz3u_U,G6yBbzz3u_U,Dr Rangan Chatterjee,"1,737,189 views",,2:03:15,7395,1737189
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,647 views",,1:32:04,5524,31647
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,131,054 views",,2:38:50,9530,2131054
"Dr. Matt Walker: The Science of Dreams, Nightmares & Lucid Dreaming | Huberman Lab Guest Series",https://www.youtube.com/watch?v=Jy4rJcYmtUM,Jy4rJcYmtUM,Andrew Huberman,"601,685 views",,2:33:06,9186,601685
Dr. Joe Dispenza: WATCH THIS To Rewire Your Brain & ATTRACT Anything You Want,https://www.youtube.com/watch?v=F-MEegYIWaM,F-MEegYIWaM,Jay Shetty Podcast,"1,136,635 views",,1:14:51,4491,1136635
The Insulin & Glucose Doctor: This Will Strip Your Fat Faster Than Anything!,https://www.youtube.com/watch?v=NyFSkGMWP5Q,NyFSkGMWP5Q,The Diary Of A CEO,"2,616,978 views",,2:43:51,9831,2616978
Trump ‘trying to gaslight’ Americans into believing everything is better’: Setmayer,https://www.youtube.com/watch?v=-dIKd1_xB5w,-dIKd1_xB5w,MSNBC,"374,741 views",,9:29,569,374741
Brain Surgeon REVEALS the NEUROSCIENCE of Dreams & What They TRULY Mean! | Dr. Rahul Jandial,https://www.youtube.com/watch?v=y6vEWdGVsAA,y6vEWdGVsAA,Lewis Howes,"665,180 views",,1:28:24,5304,665180
#1 Neurosurgeon: How to Manifest Anything You Want & Unlock the Unlimited Power of Your Mind,https://www.youtube.com/watch?v=s-wONyk3RV0,s-wONyk3RV0,Mel Robbins,"2,083,545 views",,1:16:30,4590,2083545
"Robert Greene: ""You won't see it coming""- The 13 Manipulative Tactics Men Use to Keep Women Hooked!",https://www.youtube.com/watch?v=TLbCPi4hG3I,TLbCPi4hG3I,Lisa Bilyeu,"604,862 views",,1:30:38,5438,604862
WATCH THIS EVERY DAY To Brainwash Yourself For SUCCESS & ABUNDANCE! | Joe Dispenza & Jay Shetty,https://www.youtube.com/watch?v=4qykb6jKXdo,4qykb6jKXdo,Jay Shetty Podcast,"6,488,193 views",,20:25,1225,6488193
Neuroscientist Proves Manifestation Is REAL (4-Step Method To Hack Your Brain!) | Dr. Tara Swart,https://www.youtube.com/watch?v=7KCzaQdUmyU,7KCzaQdUmyU,Jay Shetty Podcast,"332,397 views",,1:23:35,5015,332397
"""I've Scanned 250,000 Brains"" - Men Fall In Love & Bond, WHEN... | Dr. Daniel Amen",https://www.youtube.com/watch?v=i-JxdvyjGe4,i-JxdvyjGe4,Lisa Bilyeu,"641,340 views",,2:19:42,8382,641340
#1 CELEBRITY MEDIUM: How To Tap Into Your Inner PSYCHIC & What Your Inner Voice REALLY Means,https://www.youtube.com/watch?v=gTnZvIpauao,gTnZvIpauao,Jay Shetty Podcast,"1,048,936 views",,1:46:52,6412,1048936
Secret Service Agent: REMOVE PEOPLE From Your Life if They Have THESE RED FLAGS! Evy Poumpouras,https://www.youtube.com/watch?v=YXH_O2FHqpo,YXH_O2FHqpo,Lewis Howes,"1,978,872 views",,57:16,3436,1978872
The Healthy Ageing Doctor: Doing This For 30s Will Burn More Fat Than A Long Run! Dr Vonda Wright,https://www.youtube.com/watch?v=D6wTuogebU8,D6wTuogebU8,The Diary Of A CEO,"5,422,677 views",,2:07:22,7642,5422677
"""We Attract People Based on Psychological Wounds"" #1 Neuroscientist Explains How to Manifest Love!",https://www.youtube.com/watch?v=lzvE0Z-g5m4,lzvE0Z-g5m4,Lewis Howes,"1,225,912 views",,1:35:30,5730,1225912
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,225 views",,1:22:08,4928,820225
Dopamine Expert: Doing This Once A Day Fixes Your Dopamine! What Alcohol Is Doing To Your Brain!!,https://www.youtube.com/watch?v=R6xbXOp7wDA,R6xbXOp7wDA,The Diary Of A CEO,"3,242,871 views",,2:11:40,7900,3242871
"""I Profile Psychopaths""- These 20 Red Flags Will Make You Question the Man Lying Next to You…",https://www.youtube.com/watch?v=DtX-kah5phQ,DtX-kah5phQ,Lisa Bilyeu,"372,926 views",,1:20:11,4811,372926
Simon Cowell Opens Up About His Heartbreaking Loss & His Regrets About One Direction!,https://www.youtube.com/watch?v=BvsbCdCG8gE,BvsbCdCG8gE,The Diary Of A CEO,"5,680,725 views",,2:09:31,7771,5680725
The Final Episode - FULL - The Late Late Show with James Corden,https://www.youtube.com/watch?v=AeEYQ62t8hA,AeEYQ62t8hA,The Late Late Show with James Corden,"9,251,011 views",,39:59,2399,9251011
"MICHELLE OBAMA Opens Up On Her 8 Years In The White House: ""We Know Too Much.""",https://www.youtube.com/watch?v=X2vNGwMCw-M,X2vNGwMCw-M,Jay Shetty Podcast,"2,871,443 views",,1:07:25,4045,2871443
The Real James Corden - A Late Night Lament | TRO,https://www.youtube.com/watch?v=57RK-tqJVIE,57RK-tqJVIE,The Right Opinion,"1,030,555 views",,1:45:39,6339,1030555
TOM HANKS Reveals The 'Countenance Theory' That CHANGED His Acting Career,https://www.youtube.com/watch?v=lVzxRVxIaxQ,lVzxRVxIaxQ,Jay Shetty Podcast,"529,805 views",,1:42:56,6176,529805
Adele - The Final Carpool Karaoke,https://www.youtube.com/watch?v=nV8UZJNBY6Y,nV8UZJNBY6Y,The Late Late Show with James Corden,"32,615,125 views",,21:24,1284,32615125
The SUGAR Expert: Everything You Need To Know About Glucose Spikes (& 5 HACKS TO PREVENT THEM),https://www.youtube.com/watch?v=MxovSnvSO4E,MxovSnvSO4E,Jay Shetty Podcast,"3,732,982 views",,1:11:11,4271,3732982
My Affair with David Beckham - Rebecca Loos Tells All,https://www.youtube.com/watch?v=jjIwh63JPrM,jjIwh63JPrM,Anything Goes With James English,"407,995 views",,1:13:26,4406,407995
TOM HOLLAND Gets Vulnerable About Mental Health & Overcoming Social Anxiety,https://www.youtube.com/watch?v=GOqEl4ADyVk,GOqEl4ADyVk,Jay Shetty Podcast,"6,800,115 views",,1:50:52,6652,6800115
"Actress Roundtable: Angelina Jolie, Demi Moore, Zendaya, Zoe Saldaña, Mikey Madison & Tilda Swinton",https://www.youtube.com/watch?v=yG9KMfYfgEo,yG9KMfYfgEo,The Hollywood Reporter,"4,455,421 views",,58:44,3524,4455421
Truth or Eat It! w/ Kevin Hart,https://www.youtube.com/watch?v=lqBs1P8afTU,lqBs1P8afTU,The Late Late Show with James Corden,"15,774,384 views",,14:33,873,15774384
"Michael Buble: ""I Will NEVER Be Carefree Again!"", Rejection, Cancer & Stealing!",https://www.youtube.com/watch?v=2bUfUN9wUrs,2bUfUN9wUrs,The Diary Of A CEO,"1,028,861 views",,1:31:18,5478,1028861
Gordon Ramsay Exclusive: It’s Time To Tell My Full Story,https://www.youtube.com/watch?v=lRMReor3hpg,lRMReor3hpg,High Performance,"1,987,764 views",,1:06:59,4019,1987764
The Second Coming of Halle Berry | What Now? with Trevor Noah Podcast,https://www.youtube.com/watch?v=hW7Mld_WksU,hW7Mld_WksU,What Now? with Trevor Noah,"103,790 views",,53:09,3189,103790
"JELLY ROLL's Brutal Journey of Self-Forgiveness ""I hate the man I used to be...”",https://www.youtube.com/watch?v=I8Uw-kfp3ZE,I8Uw-kfp3ZE,Jay Shetty Podcast,"908,734 views",,1:39:27,5967,908734
Cole Sprouse: My Narcissistic Mum Sacrificed My Childhood For Fame! | E229,https://www.youtube.com/watch?v=3XP9J3UyTUo,3XP9J3UyTUo,The Diary Of A CEO,"6,138,653 views",,1:26:51,5211,6138653
Satanic Rituals and Secret Societies - Undercover Cop Mike Codella Tells All,https://www.youtube.com/watch?v=HcDu3VxUY2E,HcDu3VxUY2E,Anything Goes With James English,"324,137 views",,1:50:06,6606,324137
"Trump Berates Zelensky, Vance Wants a Thank You, Jimmy's Oscars Recap & Guillermo on the Red Carpet",https://www.youtube.com/watch?v=ReJM3mqDSfw,ReJM3mqDSfw,Jimmy Kimmel Live,"2,298,308 views",,16:39,999,2298308
How James Corden Destroyed His Reputation,https://www.youtube.com/watch?v=mxCZUz2F24E,mxCZUz2F24E,SunnyV2,"13,115,532 views",,10:19,619,13115532
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,225 views",,1:22:08,4928,820225
SELENA GOMEZ ON: How To STOP Insecurity & TRULY LOVE YOURSELF To The Core | Jay Shetty,https://www.youtube.com/watch?v=AmARvccsdMI,AmARvccsdMI,Jay Shetty Podcast,"6,146,562 views",,1:37:12,5832,6146562
